3SNNA,3SNNR,3SNYA,3SNYR,3SYNA,3SYNR,3SYYA,3SYYR,3DNNA,3DNNR,3DNYA,3DNYR,3DYNA,3DYNR,3DYYA,3DYYR,4SNNA,4SNNR,4SNYA,4SNYR,4SYNA,4SYNR,4SYYA,4SYYR,4DNNA,4DNNR,4DNYA,4DNYR,4DYNA,4DYNR,4DYYA,4DYYR
112,111,123,111,111,112,111,112,11112,11111,11223,11111,11111,11112,11111,11112,1112,1111,1234,1111,1111,1112,1111,1112,1111112,1111111,1122334,1111111,1111111,1111112,1111111,1111112
113,123,132,112,222,113,123,113,11113,11123,11232,11112,22222,11113,11123,11113,1113,1234,1243,1112,2222,1113,1234,1113,1111113,1111234,1122343,1111112,2222222,1111113,1111234,1111113
121,132,213,113,333,121,132,121,11121,11132,11233,11113,33333,11121,11132,11121,1114,1243,1324,1113,3333,1114,1243,1114,1111114,1111243,1122344,1111113,3333333,1111114,1111243,1111114
122,213,231,121,?,122,213,122,11122,11213,11322,11121,?,11122,11213,11122,1121,1324,1342,1114,4444,1121,1324,1121,1111121,1111324,1122433,1111114,4444444,1111121,1111324,1111121
131,222,312,122,?,123,222,131,11131,11223,11323,11122,?,11123,11223,11131,1122,1342,1423,1121,?,1122,1342,1122,1111122,1111342,1122434,1111121,?,1111122,1111342,1111122
133,231,321,131,?,131,231,133,11133,11231,11332,11123,?,11131,11231,11133,1123,1423,1432,1122,?,1123,1423,1123,1111123,1111423,1122443,1111122,?,1111123,1111423,1111123
211,312,?,133,?,132,312,211,11211,11232,12123,11131,?,11132,11232,11211,1124,1432,2134,1123,?,1124,1432,1124,1111124,1111432,1123234,1111123,?,1111124,1111432,1111124
212,321,?,211,?,133,321,212,11212,11233,12132,11132,?,11133,11233,11212,1131,2134,2143,1124,?,1131,2134,1131,1111131,1112134,1123243,1111124,?,1111131,1112134,1111131
221,333,?,212,?,211,333,221,11221,11312,12133,11133,?,11211,11312,11221,1132,2143,2314,1131,?,1132,2143,1132,1111132,1112143,1123244,1111131,?,1111132,1112143,1111132
223,?,?,221,?,212,?,223,11222,11321,12213,11211,?,11212,11321,11222,1133,2222,2341,1132,?,1133,2222,1133,1111133,1112314,1123324,1111132,?,1111133,1112314,1111133
232,?,?,222,?,213,?,232,11311,11322,12231,11212,?,11213,11322,11311,1134,2314,2413,1133,?,1134,2314,1134,1111134,1112341,1123342,1111133,?,1111134,1112341,1111134
233,?,?,223,?,221,?,233,11313,11323,12233,11213,?,11221,11323,11313,1141,2341,2431,1134,?,1141,2341,1141,1111141,1112413,1123344,1111134,?,1111141,1112413,1111141
311,?,?,232,?,223,?,311,11331,11332,12312,11221,?,11222,11332,11331,1142,2413,3124,1141,?,1142,2413,1142,1111142,1112431,1123423,1111141,?,1111142,1112431,1111142
313,?,?,233,?,231,?,313,11333,12113,12313,11222,?,11223,12113,11333,1143,2431,3142,1142,?,1143,2431,1143,1111143,1113124,1123424,1111142,?,1111143,1113124,1111143
322,?,?,311,?,232,?,322,12111,12123,12321,11231,?,11231,12123,12111,1144,3124,3214,1143,?,1144,3124,1144,1111144,1113142,1123432,1111143,?,1111144,1113142,1111144
323,?,?,313,?,233,?,323,12112,12131,12323,11311,?,11232,12131,12112,1211,3142,3241,1144,?,1211,3142,1211,1111211,1113214,1123434,1111144,?,1111211,1113214,1111211
331,?,?,322,?,311,?,331,12121,12132,12331,11312,?,11233,12132,12121,1212,3214,3412,1211,?,1212,3214,1212,1111212,1113241,1123442,1111211,?,1111212,1113241,1111212
332,?,?,323,?,312,?,332,12122,12133,12332,11313,?,11311,12133,12122,1213,3241,3421,1212,?,1213,3241,1213,1111213,1113412,1123443,1111212,?,1111213,1113412,1111213
?,?,?,331,?,313,?,?,12211,12213,13122,11321,?,11312,12213,12211,1214,3333,4123,1213,?,1214,3333,1214,1111214,1113421,1124233,1111213,?,1111214,1113421,1111214
?,?,?,332,?,321,?,?,12212,12223,13123,11331,?,11313,12223,12212,1221,3412,4132,1214,?,1221,3412,1221,1111221,1114123,1124234,1111214,?,1111221,1114123,1111221
?,?,?,333,?,322,?,?,12221,12231,13132,11333,?,11321,12231,12221,1222,3421,4213,1221,?,1222,3421,1222,1111222,1114132,1124243,1111221,?,1111222,1114132,1111222
?,?,?,?,?,323,?,?,12222,12232,13212,12111,?,11322,12232,12222,1223,4123,4231,1222,?,1223,4123,1223,1111223,1114213,1124323,1111222,?,1111223,1114213,1111223
?,?,?,?,?,331,?,?,13111,12233,13213,12112,?,11323,12233,13111,1224,4132,4312,1223,?,1224,4132,1224,1111224,1114231,1124324,1111223,?,1111224,1114231,1111224
?,?,?,?,?,332,?,?,13113,12311,13221,12113,?,11331,12311,13113,1231,4213,4321,1224,?,1231,4213,1231,1111231,1114312,1124332,1111224,?,1111231,1114312,1111231
